,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
1668,Virginia Tech,VA,Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
1669,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
1670,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
1671,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
1672,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
1673,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
1674,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
1675,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
1676,Houston,TX,University of Houston,"Houston, Texas",Public,American Athletic Conference,NCAA D1,FBS
1677,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
1678,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
1679,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
1680,Arizona,AZ,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
1681,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1682,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1683,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1684,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1685,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
1686,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
1687,Washington St.,WA,Washington State University,"Pullman, Washington",Public,Pac-12 Conference,NCAA D1,FBS
