,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
5524,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
5525,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
5526,Baylor,TX,Baylor University,"Waco, Texas",Private,Big 12 Conference,NCAA D1,FBS
5527,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
5528,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5529,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5530,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5531,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5532,Central College (IA),IA,Central College,"Pella, Iowa",Private,Iowa Intercollegiate Athletic Conference,NCAA D3,NCAA D3
5533,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
5534,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
5535,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
5536,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
5537,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
5538,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
5539,Central State (OH),OH,Central State University,"Wilberforce, Ohio",Public,Southern Intercol. Ath. Conf.,NCAA D2,NCAA D2
5540,Yale,CT,Yale University,"New Haven, Connecticut",Private,Ivy League,NCAA D1,FCS
5541,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
5542,Boston Univ.,MA,Boston University,"Boston, Massachusetts",Private,Atlantic 10 Conference,NCAA D1,FCS
5543,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
5544,Jackson St.,MS,Jackson State University,"Jackson, Mississippi",Public,Southwestern Athletic Conference,NCAA D1,FCS
5545,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
5546,New Mexico St.,NM,New Mexico State University,"Las Cruces, New Mexico",Public,Sun Belt Conference,NCAA D1,FBS
5547,Henderson St.,AR,Henderson State University,"Arkadelphia, Arkansas",Public,Great American Conference,NCAA D2,NCAA D2
5548,Nevada,NV,University of Nevada - Reno,"Reno, Nevada",Public,Mountain West Conference,NCAA D1,FBS
5549,West Virginia,WV,West Virginia University,"Morgantown, West Virginia",Public,Big 12 Conference,NCAA D1,FBS
5550,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5551,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5552,Duke,NC,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
5553,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5554,Southern,LA,Southern University & A&M College,"Baton Rouge, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
5555,Grambling St.,LA,Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
5556,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
5557,Bethune-Cookman,FL,Bethune-Cookman University,"Daytona Beach, Florida",Private,Southwestern Athletic Conference,NCAA D1,FCS
5558,Florida A&M,FL,Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1,FCS
5559,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
5560,Tulsa,OK,University of Tulsa,"Tulsa, Oklahoma",Private,American Athletic Conference,NCAA D1,FBS
5561,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5562,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5563,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5564,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5565,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5566,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5567,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
5568,Pacific,CA,Pacific University,"Forest Grove, Oregon",Private,Northwest Conference,NCAA D3,NCAA D3
5569,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
5570,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
5571,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
5572,West Texas A&M,TX,West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2,NCAA D2
5573,West Texas A&M,TX,West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2,NCAA D2
5574,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
5575,Lamar,TX,Lamar University,"Beaumont, Texas",Public,Southland Conference,NCAA D1,FCS
5576,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5577,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
5578,Iowa St.,IA,Iowa State University,"Ames, Iowa",Public,Big 12 Conference,NCAA D1,FBS
5579,Central College (IA),IA,Central College,"Pella, Iowa",Private,Iowa Intercollegiate Athletic Conference,NCAA D3,NCAA D3
5580,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5581,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5582,Toledo,OH,University of Toledo,"Toledo, Ohio",Public,Mid-American Conference,NCAA D1,FBS
5583,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
5584,Dayton,OH,University of Dayton,"Dayton, Ohio",Private,Pioneer Football League,NCAA D1,FCS
5585,Amherst,MA,Amherst College,"Amherst, Massachusetts",Private,New England Small College Athletic Conference,NCAA D3,NCAA D3
5586,,,,,,,,
5587,,,,,,,,
5588,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
5589,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5590,Wyoming,WY,University of Wyoming,"Laramie, Wyoming",Public,Mountain West Conference,NCAA D1,FBS
5591,Kentucky,KY,University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1,FBS
5592,South Dakota St.,SD,South Dakota State University,"Brookings, South Dakota",Public,Summit League Conference,NCAA D1,FCS
5593,West Virginia,WV,West Virginia University,"Morgantown, West Virginia",Public,Big 12 Conference,NCAA D1,FBS
5594,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5595,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5596,Duke,NC,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
5597,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5598,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5599,Grambling St.,LA,Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
5600,Bethune-Cookman,FL,Bethune-Cookman University,"Daytona Beach, Florida",Private,Southwestern Athletic Conference,NCAA D1,FCS
5601,Bethune-Cookman,FL,Bethune-Cookman University,"Daytona Beach, Florida",Private,Southwestern Athletic Conference,NCAA D1,FCS
5602,Florida A&M,FL,Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1,FCS
5603,Tulsa,OK,University of Tulsa,"Tulsa, Oklahoma",Private,American Athletic Conference,NCAA D1,FBS
5604,Tulsa,OK,University of Tulsa,"Tulsa, Oklahoma",Private,American Athletic Conference,NCAA D1,FBS
5605,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5606,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5607,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5608,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5609,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5610,Los Angeles St.,CA,California State University - Los Angeles,"Los Angeles, California",Public,California Collegiate Athletic Association and,NCAA D2,NCAA D2
5611,Pacific,CA,Pacific University,"Forest Grove, Oregon",Private,Northwest Conference,NCAA D3,NCAA D3
5612,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
5613,Memphis,TN,University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1,FBS
5614,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
5615,West Texas A&M,TX,West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2,NCAA D2
5616,West Texas A&M,TX,West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2,NCAA D2
5617,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
5618,Lamar,TX,Lamar University,"Beaumont, Texas",Public,Southland Conference,NCAA D1,FCS
5619,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5620,Iowa St.,IA,Iowa State University,"Ames, Iowa",Public,Big 12 Conference,NCAA D1,FBS
5621,Central College (IA),IA,Central College,"Pella, Iowa",Private,Iowa Intercollegiate Athletic Conference,NCAA D3,NCAA D3
5622,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5623,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5624,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
5625,Nebraska-Omaha,NE,University of Nebraska at Omaha,"Omaha, Nebraska",Public,North Central Conference,NCAA D2,NCAA D2
5626,Toledo,OH,University of Toledo,"Toledo, Ohio",Public,Mid-American Conference,NCAA D1,FBS
5627,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
5628,Holy Cross,MA,College of the Holy Cross,"Worcester, Massachusetts",Private,Patriot League,NCAA D1,FCS
5629,Amherst,MA,Amherst College,"Amherst, Massachusetts",Private,New England Small College Athletic Conference,NCAA D3,NCAA D3
5630,,,,,,,,
5631,,,,,,,,
5632,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
5633,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
5634,Wyoming,WY,University of Wyoming,"Laramie, Wyoming",Public,Mountain West Conference,NCAA D1,FBS
5635,Mississippi,MS,University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
5636,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
5637,Kentucky,KY,University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1,FBS
5638,Missouri,MO,University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1,FBS
5639,South Dakota St.,SD,South Dakota State University,"Brookings, South Dakota",Public,Summit League Conference,NCAA D1,FCS
5640,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5641,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5642,Duke,NC,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
5643,Duke,NC,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
5644,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5645,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5646,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5647,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
5648,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
5649,Bethune-Cookman,FL,Bethune-Cookman University,"Daytona Beach, Florida",Private,Southwestern Athletic Conference,NCAA D1,FCS
5650,Bethune-Cookman,FL,Bethune-Cookman University,"Daytona Beach, Florida",Private,Southwestern Athletic Conference,NCAA D1,FCS
5651,Florida A&M,FL,Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1,FCS
5652,Tulsa,OK,University of Tulsa,"Tulsa, Oklahoma",Private,American Athletic Conference,NCAA D1,FBS
5653,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5654,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5655,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5656,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5657,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5658,Pacific,CA,Pacific University,"Forest Grove, Oregon",Private,Northwest Conference,NCAA D3,NCAA D3
5659,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
5660,Tennessee St.,TN,Tennessee State University,"Nashville, Tennessee",Public,Ohio Valley Conference,NCAA D1,FCS
5661,Memphis,TN,University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1,FBS
5662,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
5663,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
5664,West Texas A&M,TX,West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2,NCAA D2
5665,West Texas A&M,TX,West Texas A&M University,"Canyon, Texas",Public,Lone Star Conference,NCAA D2,NCAA D2
5666,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
5667,Lamar,TX,Lamar University,"Beaumont, Texas",Public,Southland Conference,NCAA D1,FCS
5668,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5669,Central College (IA),IA,Central College,"Pella, Iowa",Private,Iowa Intercollegiate Athletic Conference,NCAA D3,NCAA D3
5670,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5671,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5672,Nebraska-Omaha,NE,University of Nebraska at Omaha,"Omaha, Nebraska",Public,North Central Conference,NCAA D2,NCAA D2
5673,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
5674,Toledo,OH,University of Toledo,"Toledo, Ohio",Public,Mid-American Conference,NCAA D1,FBS
5675,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
5676,Amherst,MA,Amherst College,"Amherst, Massachusetts",Private,New England Small College Athletic Conference,NCAA D3,NCAA D3
5677,,,,,,,,
5678,,,,,,,,
5679,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
5680,Wyoming,WY,University of Wyoming,"Laramie, Wyoming",Public,Mountain West Conference,NCAA D1,FBS
5681,Alcorn St.,MS,Alcorn State University,"Alcorn, Mississippi",Public,Southwestern Athletic Conference,NCAA D1,FCS
5682,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
5683,Kentucky,KY,University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1,FBS
5684,Kentucky,KY,University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1,FBS
5685,Missouri,MO,University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1,FBS
5686,South Dakota St.,SD,South Dakota State University,"Brookings, South Dakota",Public,Summit League Conference,NCAA D1,FCS
5687,Weber St.,UT,Weber State University,"Ogden, Utah",Public,Big Sky Conference,NCAA D1,FCS
5688,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5689,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5690,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5691,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5692,North Carolina A&T,NC,North Carolina A&T State University,"Greensboro, North Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
5693,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5694,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5695,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5696,La-Monroe,LA,University of Louisiana Monroe,"Monroe, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
5697,Central Florida,FL,University of Central Florida,"Orlando, Florida",Public,American Athletic Conference,NCAA D1,FBS
5698,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
5699,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5700,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5701,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5702,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
5703,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
5704,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
5705,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
5706,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
5707,Stanford,CA,Stanford University,"Stanford, California",Private,Pac-12 Conference,NCAA D1,FBS
5708,Long Beach St.,CA,California State University - Long Beach,"Long Beach, California",Public,Pacific Coast Athletic Association,NCAA D1,NCAA D1
5709,Cal State-Northridge,CA,California State University-Northridge,"Northridge, California",Public,California Collegiate Athletic Association,NCAA D2,NCAA D2
5710,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
5711,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
5712,Colorado Mesa,CO,Colorado Mesa University,"Grand Junction, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2,NCAA D2
5713,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
5714,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
5715,Hampton,VA,Hampton University,"Hampton, Virginia",Private,Colonial Athletic Association,NCAA D1,FCS
5716,Bloomsburg,PA,Bloomsburg University of Pennsylvania,"Bloomsburg, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2,NCAA D2
5717,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
5718,Rice,TX,Rice University,"Houston, Texas",Private,Conference USA,NCAA D1,FBS
5719,North Alabama,AL,University of North Alabama,"Florence, Alabama",Public,Gulf South Conference,NCAA D1,FCS
5720,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
5721,Iowa St.,IA,Iowa State University,"Ames, Iowa",Public,Big 12 Conference,NCAA D1,FBS
5722,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
5723,West Georgia,GA,University of West Georgia,"Carrollton, Georgia",Public,Gulf South Conference,NCAA D2,NCAA D2
5724,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
5725,Fort Hays St.,KS,Fort Hays State University,"Hays, Kansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2,NCAA D2
5726,Northwestern,IL,Northwestern University,"Evanston, Illinois",Private,Big Ten Conference,NCAA D1,FBS
5727,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
5728,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
5729,Northern Arizona,AZ,Northern Arizona University,"Flagstaff, Arizona",Public,Big Sky Conference,NCAA D1,FCS
5730,Washington St.,WA,Washington State University,"Pullman, Washington",Public,Pac-12 Conference,NCAA D1,FBS
5731,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
5732,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
5733,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5734,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
5735,New Mexico St.,NM,New Mexico State University,"Las Cruces, New Mexico",Public,Sun Belt Conference,NCAA D1,FBS
5736,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
5737,South Dakota St.,SD,South Dakota State University,"Brookings, South Dakota",Public,Summit League Conference,NCAA D1,FCS
5738,Arkansas,AR,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
5739,Arkansas,AR,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
5740,Howard,DC,Howard University,"Washington, District Of Columbia",Private,Mid-Eastern Athletic Conference,NCAA D1,FCS
5741,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5742,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
5743,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
5744,Winston-Salem St.,NC,Winston-Salem State University,"Winston-Salem, North Carolina",Public,Central Intercollegiate Athletic Association,NCAA D2,NCAA D2
5745,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5746,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5747,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
5748,La-Monroe,LA,University of Louisiana Monroe,"Monroe, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
5749,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
5750,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
5751,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
5752,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
5753,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
5754,Oklahoma,OK,University of Oklahoma,"Norman, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
5755,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
5756,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
5757,Ball St.,IN,Ball State University,"Muncie, Indiana",Public,Mid-American Conference,NCAA D1,FBS
5758,Fresno St.,CA,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
5759,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
5760,Stanford,CA,Stanford University,"Stanford, California",Private,Pac-12 Conference,NCAA D1,FBS
5761,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
5762,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
5763,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
5764,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
5765,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
5766,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
5767,Texas A&M,TX,Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1,FBS
5768,SMU,TX,Southern Methodist University – SMU,"Dallas, Texas",Private,American Athletic Conference,NCAA D1,FBS
5769,Baylor,TX,Baylor University,"Waco, Texas",Private,Big 12 Conference,NCAA D1,FBS
5770,Rice,TX,Rice University,"Houston, Texas",Private,Conference USA,NCAA D1,FBS
5771,Texas-El Paso,TX,University of Texas – El Paso,"El Paso, Texas",Public,Conference USA,NCAA D1,FBS
5772,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
5773,Ala-Birmingham,AL,University of Alabama – Birmingham,"Birmingham, Alabama",Public,Conference USA,NCAA D1,FBS
5774,Ala-Birmingham,AL,University of Alabama – Birmingham,"Birmingham, Alabama",Public,Conference USA,NCAA D1,FBS
5775,Alabama St.,AL,Alabama State University,"Montgomery, Alabama",Public,Southwestern Athletic Conference,NCAA D1,FCS
5776,Iowa St.,IA,Iowa State University,"Ames, Iowa",Public,Big 12 Conference,NCAA D1,FBS
